text,priority,category,is_fake
There is a hanging wires at River Bank.,High,Electricity,0
There is a request information at Central Park.,Low,General,0
pipe burst reported by residents of Railway Station.,High,Water Supply,0
Urgent attention required for traffic jam in Railway Station.,High,Traffic,0
The late night party at MG Road is very dangerous.,High,Noise,0
The road blocked at Central Park is very dangerous.,High,Traffic,0
Complaining about bad smell near Bus Stand.,Medium,Sanitation,0
We are facing contaminated water problems in Gandhi Nagar.,High,Water Supply,0
Urgent attention required for wrong side driving in Flyover.,High,Traffic,0
We are facing park maintenance problems in Gandhi Nagar.,Low,General,0
We are facing road blocked problems in MG Road.,Low,Traffic,0
Please fix the request information near Railway Station.,Low,General,0
There is a low pressure at 5th Avenue.,High,Water Supply,0
The unlit area at Market Area is very dangerous.,High,Safety,0
overcrowded bus reported by residents of Industrial Area.,Low,Public Transport,0
"Severe dirty water observed at Suburbs, urgent help needed.",High,Water Supply,0
late night party reported by residents of Market Area.,Low,Noise,0
Urgent attention required for hanging wires in Highway 66.,High,Electricity,0
Urgent attention required for transformer spark in City Center.,High,Electricity,0
factory noise reported by residents of Underpass.,Low,Noise,0
We are facing late night party problems in Sector 4.,Low,Noise,0
sign up now 825,Low,Spam,1
We are facing hanging wires problems in Flyover.,High,Electricity,0
We are facing water leakage problems in Bus Stand.,High,Water Supply,0
Urgent attention required for loud music in Highway 66.,High,Noise,0
"Severe construction noise observed at Highway 66, urgent help needed.",High,Noise,0
Please fix the bad road condition near 5th Avenue.,Medium,Roads,0
Please fix the loud music near Underpass.,Low,Noise,0
Complaining about illegal parking near Underpass.,Low,Traffic,0
click this link 445,Low,Spam,1
park maintenance reported by residents of Bus Stand.,Low,General,0
Urgent attention required for no water supply in River Bank.,High,Water Supply,0
There is a suspicious activity at Industrial Area.,Low,Safety,0
Urgent attention required for rude conductor in Market Area.,High,Public Transport,0
There is a park maintenance at Suburbs.,Low,General,0
Urgent attention required for unsafe crossing in Railway Station.,High,Safety,0
"Severe factory noise observed at Flyover, urgent help needed.",High,Noise,0
The lost property at Central Park is very dangerous.,High,General,0
Urgent attention required for request information in Market Area.,High,General,0
The manhole open at Railway Station is very dangerous.,High,Roads,0
Please fix the late night party near Railway Station.,Low,Noise,0
bad road condition reported by residents of City Center.,Medium,Roads,0
There is a power cut at City Center.,High,Electricity,0
Urgent attention required for unsafe crossing in Suburbs.,High,Safety,0
There is a wrong side driving at River Bank.,Low,Traffic,0
The traffic signal broken at City Center is very dangerous.,High,Traffic,0
There is a illegal parking at Sector 4.,Low,Traffic,0
Please fix the general query near MG Road.,Low,General,0
"Severe bus stop broken observed at Underpass, urgent help needed.",High,Public Transport,0
The no water supply at River Bank is very dangerous.,High,Water Supply,0
We are facing power cut problems in Market Area.,High,Electricity,0
Please fix the power cut near Hospital Road.,High,Electricity,0
Urgent attention required for unlit area in Market Area.,High,Safety,0
The sewage overflow at Railway Station is very dangerous.,High,Sanitation,0
speed breaker issue reported by residents of City Center.,Medium,Roads,0
The overcrowded bus at Highway 66 is very dangerous.,High,Public Transport,0
"Severe transformer spark observed at Underpass, urgent help needed.",High,Electricity,0
The uneven surface at River Bank is very dangerous.,High,Roads,0
Please fix the low pressure near Railway Station.,High,Water Supply,0
"Severe lost property observed at 5th Avenue, urgent help needed.",High,General,0
crypto investment 593,Low,Spam,1
Urgent attention required for unlit area in 5th Avenue.,High,Safety,0
Please fix the bad smell near City Center.,Medium,Sanitation,0
Urgent attention required for stray dogs in Underpass.,High,Safety,0
There is a overflowing dustbin at Underpass.,Medium,Sanitation,0
Complaining about rude conductor near Underpass.,Low,Public Transport,0
rude conductor reported by residents of Underpass.,Low,Public Transport,0
Urgent attention required for rude conductor in 5th Avenue.,High,Public Transport,0
The dirty water at Main St is very dangerous.,High,Water Supply,0
The street light off at Central Park is very dangerous.,High,Electricity,0
Urgent attention required for garbage pile in Bus Stand.,High,Sanitation,0
We are facing factory noise problems in Underpass.,Low,Noise,0
late night party reported by residents of Market Area.,Low,Noise,0
"Severe illegal parking observed at Gandhi Nagar, urgent help needed.",High,Traffic,0
"Severe dead animal observed at MG Road, urgent help needed.",High,Sanitation,0
There is a overcrowded bus at Bus Stand.,Low,Public Transport,0
Please fix the road blocked near Gandhi Nagar.,Low,Traffic,0
There is a water leakage at Hospital Road.,High,Water Supply,0
Complaining about construction noise near City Center.,Low,Noise,0
There is a bus stop broken at Market Area.,Low,Public Transport,0
The pipe burst at Hospital Road is very dangerous.,High,Water Supply,0
Complaining about lost property near Railway Station.,Low,General,0
Urgent attention required for lost property in Railway Station.,High,General,0
Urgent attention required for street light off in Underpass.,High,Electricity,0
We are facing general query problems in River Bank.,Low,General,0
We are facing manhole open problems in Gandhi Nagar.,Medium,Roads,0
"Severe traffic signal broken observed at School Zone, urgent help needed.",High,Traffic,0
"Severe park maintenance observed at Gandhi Nagar, urgent help needed.",High,General,0
Complaining about broken road near Underpass.,Medium,Roads,0
Urgent attention required for bus late in Central Park.,High,Public Transport,0
"Severe water leakage observed at 5th Avenue, urgent help needed.",High,Water Supply,0
Please fix the request information near 5th Avenue.,Low,General,0
The general query at Main St is very dangerous.,High,General,0
Urgent attention required for general query in Hospital Road.,High,General,0
"Severe bus stop broken observed at Suburbs, urgent help needed.",High,Public Transport,0
There is a construction noise at Gandhi Nagar.,Low,Noise,0
Complaining about request information near MG Road.,Low,General,0
Complaining about traffic signal broken near Bus Stand.,Low,Traffic,0
Urgent attention required for bad smell in Market Area.,High,Sanitation,0
Complaining about park maintenance near 5th Avenue.,Low,General,0
Urgent attention required for garbage pile in MG Road.,High,Sanitation,0
The pothole at Underpass is very dangerous.,High,Roads,0
We are facing rude conductor problems in Bus Stand.,Low,Public Transport,0
rude conductor reported by residents of MG Road.,Low,Public Transport,0
Please fix the park maintenance near MG Road.,Low,General,0
Complaining about power cut near Bus Stand.,High,Electricity,0
The hanging wires at Flyover is very dangerous.,High,Electricity,0
"Severe request information observed at School Zone, urgent help needed.",High,General,0
Complaining about park maintenance near Market Area.,Low,General,0
Complaining about power cut near Central Park.,High,Electricity,0
Complaining about general query near Highway 66.,Low,General,0
The factory noise at Central Park is very dangerous.,High,Noise,0
We are facing bad smell problems in MG Road.,Medium,Sanitation,0
verify account 764,Low,Spam,1
The factory noise at Railway Station is very dangerous.,High,Noise,0
We are facing overcrowded bus problems in Central Park.,Low,Public Transport,0
Complaining about suspicious activity near Market Area.,Low,Safety,0
"Severe wrong side driving observed at Gandhi Nagar, urgent help needed.",High,Traffic,0
bus stop broken reported by residents of Industrial Area.,Low,Public Transport,0
park maintenance reported by residents of Industrial Area.,Low,General,0
"Severe electric pole fell observed at River Bank, urgent help needed.",High,Electricity,0
"Severe illegal parking observed at Gandhi Nagar, urgent help needed.",High,Traffic,0
There is a transformer spark at 5th Avenue.,High,Electricity,0
The contaminated water at MG Road is very dangerous.,High,Water Supply,0
"Severe stray dogs observed at City Center, urgent help needed.",High,Safety,0
Please fix the bus stop broken near Market Area.,Low,Public Transport,0
Urgent attention required for wrong side driving in River Bank.,High,Traffic,0
Urgent attention required for pipe burst in Sector 4.,High,Water Supply,0
Please fix the pipe burst near School Zone.,High,Water Supply,0
wrong side driving reported by residents of School Zone.,Low,Traffic,0
There is a overflowing dustbin at Underpass.,Medium,Sanitation,0
We are facing broken road problems in Suburbs.,Medium,Roads,0
transformer spark reported by residents of MG Road.,High,Electricity,0
"Severe pipe burst observed at MG Road, urgent help needed.",High,Water Supply,0
buy watches 686,Low,Spam,1
Urgent attention required for sewage overflow in Underpass.,High,Sanitation,0
Complaining about clogged drain near Suburbs.,Medium,Sanitation,0
There is a road blocked at Underpass.,Low,Traffic,0
There is a unsafe crossing at Hospital Road.,Low,Safety,0
Complaining about lost property near Flyover.,Low,General,0
We are facing loud music problems in Suburbs.,Low,Noise,0
Urgent attention required for no water supply in Suburbs.,High,Water Supply,0
There is a wrong side driving at MG Road.,Low,Traffic,0
There is a rude conductor at Highway 66.,Low,Public Transport,0
Urgent attention required for loud music in Bus Stand.,High,Noise,0
We are facing unsafe crossing problems in Central Park.,Low,Safety,0
late night party reported by residents of Main St.,Low,Noise,0
We are facing overcrowded bus problems in Flyover.,Low,Public Transport,0
Urgent attention required for transformer spark in Sector 4.,High,Electricity,0
Please fix the stray dogs near River Bank.,Low,Safety,0
"Severe electric pole fell observed at River Bank, urgent help needed.",High,Electricity,0
The stray dogs at Underpass is very dangerous.,High,Safety,0
There is a manhole open at Suburbs.,Medium,Roads,0
The general query at School Zone is very dangerous.,High,General,0
Urgent attention required for traffic jam in Gandhi Nagar.,High,Traffic,0
There is a bad smell at MG Road.,Medium,Sanitation,0
Please fix the no water supply near Industrial Area.,High,Water Supply,0
Urgent attention required for lost property in Gandhi Nagar.,High,General,0
Please fix the rude conductor near Sector 4.,Low,Public Transport,0
earn from home 596,Low,Spam,1
There is a construction noise at Central Park.,Low,Noise,0
The sewage overflow at Market Area is very dangerous.,High,Sanitation,0
lottery winner 272,Low,Spam,1
Please fix the general query near 5th Avenue.,Low,General,0
There is a park maintenance at MG Road.,Low,General,0
Complaining about low pressure near Railway Station.,High,Water Supply,0
construction noise reported by residents of Hospital Road.,Low,Noise,0
There is a request information at Suburbs.,Low,General,0
The unlit area at Highway 66 is very dangerous.,High,Safety,0
Complaining about power cut near Gandhi Nagar.,High,Electricity,0
There is a request information at Main St.,Low,General,0
lost property reported by residents of River Bank.,Low,General,0
We are facing rude conductor problems in City Center.,Low,Public Transport,0
We are facing power cut problems in Industrial Area.,High,Electricity,0
Please fix the hanging wires near Hospital Road.,High,Electricity,0
Urgent attention required for request information in River Bank.,High,General,0
Complaining about broken fence near Industrial Area.,Low,Safety,0
Complaining about low pressure near Gandhi Nagar.,High,Water Supply,0
Please fix the contaminated water near Industrial Area.,High,Water Supply,0
road blocked reported by residents of 5th Avenue.,Low,Traffic,0
buy watches 481,Low,Spam,1
Please fix the electric pole fell near 5th Avenue.,High,Electricity,0
We are facing loud music problems in 5th Avenue.,Low,Noise,0
sign up now 433,Low,Spam,1
The dirty water at Suburbs is very dangerous.,High,Water Supply,0
Urgent attention required for unlit area in River Bank.,High,Safety,0
There is a overflowing dustbin at Gandhi Nagar.,Medium,Sanitation,0
Urgent attention required for rude conductor in City Center.,High,Public Transport,0
Complaining about bad smell near Industrial Area.,Medium,Sanitation,0
"Severe traffic jam observed at River Bank, urgent help needed.",High,Traffic,0
There is a manhole open at 5th Avenue.,Medium,Roads,0
There is a transformer spark at Industrial Area.,High,Electricity,0
Urgent attention required for late night party in Suburbs.,High,Noise,0
Urgent attention required for bad smell in Hospital Road.,High,Sanitation,0
The construction noise at MG Road is very dangerous.,High,Noise,0
"Severe broken road observed at Gandhi Nagar, urgent help needed.",High,Roads,0
Urgent attention required for request information in City Center.,High,General,0
We are facing unsafe crossing problems in Gandhi Nagar.,Low,Safety,0
"Severe general query observed at Bus Stand, urgent help needed.",High,General,0
Urgent attention required for speed breaker issue in River Bank.,High,Roads,0
Urgent attention required for bad road condition in MG Road.,High,Roads,0
"Severe hanging wires observed at Central Park, urgent help needed.",High,Electricity,0
There is a traffic jam at Railway Station.,Low,Traffic,0
"Severe rude conductor observed at Underpass, urgent help needed.",High,Public Transport,0
Complaining about general query near City Center.,Low,General,0
sign up now 495,Low,Spam,1
Complaining about pipe burst near Flyover.,High,Water Supply,0
The power cut at City Center is very dangerous.,High,Electricity,0
request information reported by residents of Flyover.,Low,General,0
"Severe loud music observed at Sector 4, urgent help needed.",High,Noise,0
Complaining about suspicious activity near Flyover.,Low,Safety,0
Please fix the construction noise near Main St.,Low,Noise,0
"Severe broken fence observed at City Center, urgent help needed.",High,Safety,0
Complaining about factory noise near Suburbs.,Low,Noise,0
Complaining about construction noise near Sector 4.,Low,Noise,0
The road blocked at Suburbs is very dangerous.,High,Traffic,0
Complaining about lost property near Sector 4.,Low,General,0
The request information at Hospital Road is very dangerous.,High,General,0
Complaining about lost property near Suburbs.,Low,General,0
"Severe bus late observed at Market Area, urgent help needed.",High,Public Transport,0
Urgent attention required for stray dogs in Gandhi Nagar.,High,Safety,0
There is a overcrowded bus at Central Park.,Low,Public Transport,0
The bus late at Central Park is very dangerous.,High,Public Transport,0
Complaining about unsafe crossing near Highway 66.,Low,Safety,0
We are facing request information problems in River Bank.,Low,General,0
We are facing low pressure problems in Railway Station.,High,Water Supply,0
Urgent attention required for stray dogs in Highway 66.,High,Safety,0
The sewage overflow at Sector 4 is very dangerous.,High,Sanitation,0
stray dogs reported by residents of Railway Station.,Low,Safety,0
"Severe road blocked observed at Central Park, urgent help needed.",High,Traffic,0
Urgent attention required for speed breaker issue in Main St.,High,Roads,0
There is a dead animal at Bus Stand.,Medium,Sanitation,0
There is a construction noise at Suburbs.,Low,Noise,0
job offer 768,Low,Spam,1
